TCM_symptom_id,TCM_symptom_name,Symptom_pinYin,Symptom_definition,Symptom_locus,Symptom_property,Type,Version,Suppress
71,岔气,Cha Qi,急性胸肋痛，指运动时，特别是跑步中，胸肋部产生的疼痛。亦多见于举重、推车、跳跃、攀高、挑抬或搬运重物时，用力过度或不当时，岔气多发生在右下肋部，在动作停止后可自然消失。腹部按摩、缓慢深呼吸或腹式呼吸能加速其缓解。,肺,肺气上逆,Ontological terms,"v1,v2",0
72,岔气作痛,Cha Qi Zuo Tong,急性胸肋痛，指运动时，特别是跑步中，胸肋部产生的疼痛。亦多见于举重、推车、跳跃、攀高、挑抬或搬运重物时，用力过度或不当时，岔气多发生在右下肋部，在动作停止后可自然消失。腹部按摩、缓慢深呼吸或腹式呼吸能加速其缓解。,肺,肺气上逆,Ontological terms,"v1,v2",0
73,产后出血日久,Chan Hou Chu Xie Ri Jiu,,子宫,血虚,Synonymous terms,"v1,v2",0
74,产后恶露不尽,Chan Hou E Lu Bu Jin,产后恶露是指产后随子宫蜕膜脱落，含有血液、坏死蜕膜等组织经阴道排出，称为恶露（lochia），这是产妇在产褥期的临床表现，属于生理性变化。恶露有血腥味，但无臭味，其颜色及内容物随时间而变化，一般持续4～6周，总量为500ml。如超出上述时间仍有较多恶露排出，称之为产后恶露不尽,子宫,血瘀,Synonymous terms,"v1,v2",0
75,产后腹痛,Chan Hou Fu Tong,"妇分娩后，由于子宫的缩复作用，小腹呈阵阵作痛，于产后1～2日出现，持续2～3日自然消失，西医称""宫缩痛""、""产后痛""，属生理现象，一般不需治疗。若腹痛阵阵加剧，难以忍受，或腹痛绵绵，疼痛不已，影响产妇的康复，为病态，应予治疗。",子宫,血瘀,Ontological terms,"v1,v2",0
76,产后流血,Chan Hou Liu Xie,,子宫,血瘀,Synonymous terms,"v1,v2",0
77,产后乳房结块,Chan Hou Ru Fang Jie Kuai,,子宫,气郁,Synonymous terms,"v1,v2",0
78,产后乳汁不通,Chan Hou Ru Zhi Bu Tong,,子宫,气郁,Ontological terms,"v1,v2",0
79,产后乳肿,Chan Hou Ru Zhong,,子宫,湿热,Ontological terms,"v1,v2",0
80,产后少乳,Chan Hou Shao Ru,产后缺奶，指产妇在哺乳时乳汁甚少或全无的一种状态，有多种因素可导致。,子宫,气郁,Ontological terms,"v1,v2",0
81,产后脱发,Chan Hou Tuo Fa,,子宫,血虚,Synonymous terms,"v1,v2",0
82,产后小腹疼痛,Chan Hou Xiao Fu Teng Tong,,子宫,血瘀,Synonymous terms,"v1,v2",0
83,产后血虚,Chan Hou Xie Xu,,子宫,血虚,,v1,1
84,产后血晕,Chan Hou Xie Yun,是指产妇分娩后突然头昏眼花，不能起坐，或心胸满闷，恶心呕吐，痰涌气急，心烦不安，甚则神昏口噤，不省人事，称为“产后血晕”,子宫,血虚,Ontological terms,"v1,v2",0
85,产后瘀痛,Chan Hou Yu Tong,,子宫,血虚,Ontological terms,"v1,v2",0
86,产后诸虚,Chan Hou Zhu Xu,,子宫,气血虚弱,Synonymous terms,"v1,v2",0
87,产后子宫复旧不全,Chan Hou Zi Gong Fu Jiu Bu Quan,指产后6周子宫仍未能恢复到非孕状态。其原因复杂，如由于部分胎盘、胎膜残留；子宫内膜炎或盆腔感染,子宫,气血虚弱,Ontological terms,"v1,v2",0
88,肠风便血,Chang Feng Bian Xie,因风热客于肠胃或湿热蕴积肠胃，久而损伤阴络，致大便时出血，故名。临床表现：大便前出血如注，血色鲜红，肛门无肿痛，舌红、脉数等。,大肠,湿热,Ontological terms,"v1,v2",0
89,肠风下血,Chang Feng Xia Xie,,大肠,湿热,Ontological terms,"v1,v2",0
90,肠功能紊乱,Chang Gong Neng Wen Luan,,大肠,湿热,Synonymous terms,"v1,v2",0
91,肠鸣,Chang Ming,肠管内气体和液体随之流动，产生一种断续的咕噜声（gurgling sound）或气过水声，称为肠鸣音。肠鸣音是指腹中胃肠蠕动漉漉作响的体征。在正常情况下，肠鸣声低弱而和缓，一般难以闻及。当肠道功能异常或阻塞不通时，则肠鸣音高亢而频急。临床根据作响的部位及声音来判断病变部位和病变性质。,大肠,水饮,Ontological terms,"v1,v2",0
92,肠胃不适,Chang Wei Bu Shi,,肠胃,脾胃不和,Synonymous terms,"v1,v2",0
93,潮热,Chao Re,潮热又名潮红，常见于更年期或者更年前期，常伴出汗及心悸而出现的燥热症状，多数情况下，由面部或者胸部开始，蔓延至全身，有人发作时可见到面部明显潮红。每次发作可持续20～30分钟，发作次数不定，可一周出现几次，也可一天出现几次，甚至每个小时都出现。天气和环境温度可加重潮热的发作。中医一般认为病机为阴虚、湿热、胃肠实热而引起。,大肠,阳明燥结,Ontological terms,"v1,v2",0
94,陈旧性伤痛,Chen Jiu Xing Shang Tong,,,瘀血,Synonymous terms,"v1,v2",0
95,晨起面肿,Chen Qi Mian Zhong,,肾,肾虚,Synonymous terms,"v1,v2",0
96,齿鼻衄血,Chi Bi Nv Xie,,脾,脾虚,Synonymous terms,"v1,v2",0
97,齿痛,Chi Tong,牙齿者，骨之所终，髓之所养也。又手足阳明之支脉入于齿，故骨髓之气不足，与夫阳 明之 脉虚，风冷乘之而痛者，谓之风痛。,肾,肾虚,Ontological terms,"v1,v2",0
98,齿龈肿痛,Chi Ken Zhong Tong,,脾,湿热,Ontological terms,"v1,v2",0
99,赤白痢,Chi Bai Li,中医指大便中带脓血的痢疾,大肠,湿热,Ontological terms,"v1,v2",0
100,赤白下痢,Chi Bai Xia Li,,大肠,湿热,Synonymous terms,"v1,v2",0
101,赤痢,Chi Li,赤痢，中医称大便中带血不带脓的痢疾。痢下多血或下纯血者。即血痢。《诸病源候论·痢病诸候》：“热乘于血，则流渗入肠，与痢相杂下，故为赤痢。,大肠,热毒,Ontological terms,"v1,v2",0
102,赤缕红斑,Chi Lv Hong Ban,,皮肤,热毒,Synonymous terms,"v1,v2",0
103,虫毒,Chong Du,,,虫毒,Ontological terms,"v1,v2",0
104,虫咬肿痛,Chong Yao Zhong Tong,,,虫毒,Synonymous terms,"v1,v2",0
105,抽搐,Chou Chu,抽搐是不随意运动的表现，是神经－肌肉疾病的病理现象，表现为横 纹肌的不随意收缩。临床上常见的有如下几种：惊厥，强直性痉挛，肌阵挛，震颤，舞蹈样动作， 手足徐动，扭转痉挛， 肌束颤动， 习惯性抽搐。中医认为引起抽搐的病因病机主要有热毒内盛，风阳扰动、风毒窜络、阴血亏损等方面。常见于脑系疾病、传染病、中毒、头颅内伤、厥病类疾病、子痫、产后痉病、小儿惊风、破伤风、狂犬病等病中。临床对以抽搐为主病的病种尚不能确定时，可以抽搐待查作为初步诊断，并进行辩证论治。,,风热,Ontological terms,"v1,v2",0
106,抽搐神昏,Chou Chu Shen Hun,,,肝风,Ontological terms,"v1,v2",0
107,出血,Chu Xie,血液自血管或心脏外流,脾,火热,Ontological terms,"v1,v2",0
108,出血症,Chu Xie Zheng,是指由于凝血系统出现障碍而发生的出血现象,脾,火热,Ontological terms,"v1,v2",0
109,喘,Chuan,急促地呼吸：喘气。喘息。喘咳。苟延残喘,肺,气逆,Synonymous terms,"v1,v2",0
110,喘促,Chuan Cu,,肺,气逆,Synonymous terms,"v1,v2",0
111,喘促气逆,Chuan Cu Qi Ni,,肺,气逆,Synonymous terms,"v1,v2",0
112,喘促痰多,Chuan Cu Tan Duo,,肺,痰饮,Synonymous terms,"v1,v2",0
113,喘急,Chuan Ji,喘急或称“喘促”。是形容气喘时呼吸急促之状。,肺,伏痰,Ontological terms,"v1,v2",0
114,喘咳,Chuan Ke,咳，指呼吸器官受刺激而引起一种反射作用。把吸入的气急急呼出，同时发声，能清除呼吸道中的异物或痰，也是某些病的症状,肺,伏痰,Ontological terms,"v1,v2",0
115,喘满,Chuan Man,心下痞坚，面色黧黑，其脉沉紧是征象.木防己汤是治疗方药.,肺,伏痰,Ontological terms,"v1,v2",0
116,喘嗽,Chuan Sou,气喘咳嗽,肺,气逆,Ontological terms,"v1,v2",0
117,喘息,Chuan Xi,急促的呼吸；急促呼吸。,肺,气逆,Ontological terms,"v1,v2",0
118,疮毒,Chuang Du,诸疮毒肿。 明 李时珍 《本草纲目·虫二·蝎》：“诸疮毒肿。全蝎七枚，卮子七个，麻油煎黑，去滓，入黄蜡，化成膏，傅之。” 贾祖璋 《蝎子》：“蝎子很早就供药用，主治惊风抽搐、带下、疮毒等症。”孙氏疮毒中药膏是祖传百年，专治疮毒的秘方药物，主要的功能是提脓生肌，去腐消炎，敛疮消肿，对于各种疑难疮毒，包括带状疱疹，瘘疮，须疮，坐板疮，镰疮等疮痈疖肿均有非常好的疗效。,皮肤,热毒,Ontological terms,"v1,v2",0
119,疮疖痈肿,Chuang Jie Yong Zhong,,皮肤,热毒,Ontological terms,"v1,v2",0
120,疮疖肿毒,Chuang Jie Zhong Du,,皮肤,热毒,Ontological terms,"v1,v2",0
121,疮疖肿痛,Chuang Jie Zhong Tong,,皮肤,热毒,Synonymous terms,"v1,v2",0
122,疮口久不愈合,Chuang Kou Jiu Bu Yu He,,皮肤,气虚,Ontological terms,"v1,v2",0
123,疮面久溃不敛,Chuang Mian Jiu Kui Bu Lian,,皮肤,气虚,Synonymous terms,"v1,v2",0
124,疮面疼痛,Chuang Mian Teng Tong,,皮肤,气虚,Synonymous terms,"v1,v2",0
125,疮面鲜活,Chuang Mian Xian Huo,,皮肤,湿热,Synonymous terms,"v1,v2",0
126,疮色鲜活,Chuang Se Xian Huo,,皮肤,湿热,Synonymous terms,"v1,v2",0
127,疮癣,Chuang Xian,,皮肤,热毒,Ontological terms,"v1,v2",0
128,疮疡,Chuang Yang,疮疡是指各种致病因素侵袭人体后引起的一切体表化脓感染性疾病的总称，包括急性和慢性两大类。中国古代用以泛指多种外科疾患，后世将外科分为疮疡与杂证两大类。疮疡多由毒邪内侵，邪热灼血，以致气血凝滞而成。其包括了体表上的肿疡及溃疡、痈、疽、疔疮、疖肿、流注、流痰、瘰疬及有关皮肤病的内容，是中医外科疾病中最常见的一大类病证，具有发病迅速，部分病情较重等特点，在面部可引起疔疮走黄（西医称为败血症或脓毒败血症），在手、足易引起伤筋损骨的严重后果。创伤出现感染以后，就形成了疮疡。,皮肤,热毒,Ontological terms,"v1,v2",0
129,疮疡不敛,Chuang Yang Bu Lian,,皮肤,气虚,Ontological terms,"v1,v2",0
130,疮疡久溃不敛,Chuang Yang Jiu Kui Bu Lian,,皮肤,气虚,Ontological terms,"v1,v2",0
131,疮疡溃烂,Chuang Yang Kui Lan,,皮肤,湿热,Synonymous terms,"v1,v2",0
132,疮疡肿痛,Chuang Yang Zhong Tong,,皮肤,热毒,Ontological terms,"v1,v2",0
133,疮痈肿痛,Chuang Yong Zhong Tong,,皮肤,热毒,Ontological terms,"v1,v2",0
134,疮肿,Chuang Zhong,疮疖溃疡之疾,皮肤,热毒,Ontological terms,"v1,v2",0
135,创伤出血,Chuang Shang Chu Xie,,皮肤,瘀血,Ontological terms,"v1,v2",0
136,唇干,Chun Gan,因为秋高气爽，干燥多风，很多人都会觉得嘴唇发干，出现皲裂，这种现象称为唇干。,脾,肺燥,Synonymous terms,"v1,v2",0
137,唇甲出血,Chun Jia Chu Xie,,脾,脾虚,Synonymous terms,"v1,v2",0
138,唇甲色淡,Chun Jia Se Dan,,脾,脾虚,Synonymous terms,"v1,v2",0
139,刺痛,Ci Tong,刺激皮肉而感到疼痛：感到剧烈的烧灼样的疼痛,,瘀血,Ontological terms,"v1,v2",0
140,猝然昏倒,Cu Ran Hun Dao,,心脑,气逆,Ontological terms,"v1,v2",0
141,窜痛,Cuan Tong,疼痛部位走窜不定，病人可感觉到疼痛的窜动。,肝,气滞,Synonymous terms,"v1,v2",0
142,挫伤筋骨,Cuo Shang Jin Gu,,,血瘀,Synonymous terms,"v1,v2",0
143,大便不畅,Da Bian Bu Chang,,大肠,气滞,Synonymous terms,"v1,v2",0
144,大便不利,Da Bian Bu Li,,大肠,气滞,Synonymous terms,"v1,v2",0
145,大便不爽,Da Bian Bu Shuang,,大肠,湿热,Ontological terms,"v1,v2",0
146,大便不调,Da Bian Bu Diao,,大肠,肝郁,Synonymous terms,"v1,v2",0
147,大便不通,Da Bian Bu Tong,俗称便秘。是指人体在精神影响下或者饮食问题所导致排便困难,大肠,津亏,Ontological terms,"v1,v2",0
148,大便不下,Da Bian Bu Xia,,大肠,津亏,Synonymous terms,"v1,v2",0
149,大便臭秽,Da Bian Chou Hui,,大肠,湿热,Synonymous terms,"v1,v2",0
150,大便出血,Da Bian Chu Xie,血液从肛门排出，粪便颜色呈鲜红、暗红或柏油样（黑便），均称为便血。便血只是一个症状，并非一种疾病。便血多见于下消化道出血，特别是结肠与直肠病变的出血，但亦可见于上消化道出血。便血的颜色取决于消化道出血的部位、出血量与血液在胃肠道停留的时间。便血伴有皮肤、黏膜或其他器官出血现象者，多见于血液系统疾病及其他全身性疾病，如白血病、弥散性血管内凝血等。,大肠,湿热,Ontological terms,"v1,v2",0
151,大便次数增多 ,Da Bian Ci Shu Zeng Duo  ,,大肠,脾虚,,v1,1
152,大便干,Da Bian Gan,,大肠,津亏,Synonymous terms,"v1,v2",0
