Formula_id,Formula_pinyin_name,Formula_cn_name,Formula_alias_name,Formula_en_name,Dosage_form,Administration,Type,Category,Herbs_in_Chinese,Herbs_in_pinyin,Syndromes_in_Chinese,Syndromes_in_English,Indications_in_Chinese,Indications_in_English,Source,CPMCP_CMP_id,CPMCP_CPM_id,ITCM_id,ETCM_id
HBFO000011,E Jiao Yi Shou Kou Fu Ye,阿胶益寿口服液,NA,E Jiao Yi Shou Oral Liquid,口服液 (Oral Liquid Pharmaceutical Preparation),Oral,补益药,Chinese patent medicines,"人参, 制何首乌, 木香, 炙黄芪, 熟地黄, 甘草, 阿胶, 陈皮","Ren Shen, Zhi He Shou Wu, Mu Xiang, Zhi Huang Qi, Shu Di Huang, Gan Cao, E Jiao, Chen Pi",气血两虚证,Syndrome of deficiency of both essence and blood,"早衰症, 健忘, 不寐","Inability to sleep, Forgetfulness, Premature senility",ETCM,NA,NA,11,11
HBFO000012,E Gui Yang Xue Kou Fu Ye,阿归养血口服液,NA,E Gui Yang Xue Oral Liquid,口服液 (Oral Liquid Pharmaceutical Preparation),Oral,NA,Chinese patent medicines,"当归, 党参, 白芍, 炙甘草, 茯苓, 黄芪, 川芎, 阿胶, 熟地黄, 蔗糖, 苯甲酸钠","Dang Gui, Dang Shen, Bai Shao, Zhi Gan Cao, Fu Ling, Huang Qi, Chuan Qiong, E Jiao, Shu Di Huang, Zhe Tang, Ben Jia Suan Na",补气养血,Nourishing Qi and Blood,气血亏虚，面色萎黄，眩晕乏力，肌肉消瘦，经闭，赤白带下,"Deficiency of qi and blood, pale complexion, dizziness and fatigue, muscle wasting, amenorrhea, red vaginal discharge",ITCM,NA,1,51316,NA
HBFO000013,A Wei Hua Pi Gao,阿魏化痞膏,NA,A Wei Hua Pi Plaster; Awei Huapi Plaster,膏药 (Plaster),External Use,NA,Chinese patent medicines,"香附, 厚朴, 三棱, 莪术, 当归, 生草乌, 生川乌, 大蒜, 使君子, 白芷, 穿山甲, 木鳖子, 蜣螂, 胡黄连, 大黄, 蓖麻子, 乳香, 没药, 芦荟, 血竭, 雄黄, 肉桂, 樟脑, 阿魏","Xiang Fu, Hou Po, San Leng, E Shu, Dang Gui, Sheng Cao Wu, Sheng Chuan Wu, Da Suan, Shi Jun Zi, Bai Zhi, Chuan Shan Jia, Mu Bie Zi, Qiang Lang, Hu Huang Lian, Dai Huang, Bi Ma Zi, Ru Xiang, Mo Yao, Lu Hui, Xue Jie, Xiong Huang, Rou Gui, Zhang Nao, A Wei",化痞消积,NA,用于气滞血凝，癥瘕痞块，脘腹疼痛，胸胁胀满,"Used for stagnation of qi and blood coagulation, lumps, abdominal pain, fullness of the chest and flanks",Chinese Pharmacopoeia 2020 edition,NA,NA,53418,NA
HBFO000014,A Wei She Xiang Hua Ji Gao,阿魏麝香化积膏,NA,A Wei She Xiang Hua Ji Plaster,膏药 (Plaster),External Use,和血药,Chinese patent medicines,"千年健, 川乌, 川牛膝, 当归, 杜仲, 甘草, 白芷, 穿山甲, 细辛, 肉桂, 草乌, 透骨草, 钻地风, 防风, 阿魏, 附子, 高良姜, 麝香","Qian Nian Jian, Chuan Wu, Chuan Niu Xi, Dang Gui, Du Zhong, Gan Cao, Bai Zhi, Chuan Shan Jia, Xi Xin, Rou Gui, Cao Wu, Tou Gu Cao, Zuan Di Feng, Fang Feng, A Wei, Fu Zi, Gao Liang Jiang, She Xiang",阳虚痰凝证,Syndrome of yang deficiency with congealing phlegm,"腹胀, 癥积, 痛经","Abdominal mass, Abdominal distension, Dysmenorrhea",ETCM,NA,NA,12,12
HBFO000015,Ai Di Zhu She Ye,艾迪注射液,NA,Ai Di Injection,注射剂 (Injection),Injection,和血药,Chinese patent medicines,"人参, 刺五加, 斑蝥, 黄芪","Ren Shen, Ci Wu Jia, Ban Mao, Huang Qi",肝癌; 肺癌; 直肠癌; 恶性淋巴瘤; 妇科恶性肿瘤,Liver Cancer; Lung Cancer; Rectal Cancer; Malignant Lymphoma; Gynecologic Neoplasms,"肝癌, 肺癌, 直肠癌, 恶性淋巴瘤, 妇科恶性肿瘤","Malignant lymphoma, Lung cancer, Gynecologic malignant tumor, Liver cancer, Rectal cancer",ETCM,NA,NA,13,13
HBFO000016,Ai Fu Nuan Gong Wan,艾附暖宫丸,NA,Ai Fu Nuan Gong Pill; Aifu Nuangong Pill,丸剂 (Pill),Oral,NA,Chinese patent medicines,"艾叶（炭）, 醋香附, 制吴茱萸, 肉桂, 当归, 川芎, 白芍（酒炒）, 地黄, 炙黄芪, 续断","Ai Ye （ Tan ）, Cu Xiang Fu, Zhi Wu Zhu Yu, Rou Gui, Dang Gui, Chuan Qiong, Bai Shao （ Jiu Chao ）, Di Huang, Zhi Huang Qi, Xu Duan",理气养血，暖宫调经,NA,用于血虚气滞、下焦虚寒所致的月经不调、痛经，症见行经后错、经量少、有血块、小腹疼痛、经行小腹冷痛喜热、腰膝痠痛,"Used for irregular menstruation and dysmenorrhea caused by blood deficiency and qi stagnation, lower Jiao deficiency and cold, symptoms of menstrual errors, low menstrual flow, blood clots, lower abdomen pain, lower abdomen pain, fever, waist and knee pain",Chinese Pharmacopoeia 2020 edition,3,NA,53115,NA
HBFO000017,E Jiao Ji Zi Huang Tang,阿胶鸡子黄汤,NA,E Jiao Ji Zi Huang Decotion,汤剂 (Decoction),Oral,治风方,Ancient TCM prescriptions,"阿胶, 鸡子黄, 地黄, 白芍, 茯神, 炙甘草, 石决明, 牡蛎, 钩藤, 络石藤","E Jiao, Ji Zi Huang, Di Huang, Bai Shao, Fu Shen, Zhi Gan Cao, Shi Jue Ming, Mu Li, Gou Teng, Luo Shi Teng",平熄内风,Flat extinguish endogenous wind,养血滋阴，柔肝熄风,"Nourish blood and nourish Yin, soften liver and extinguish wind",CPMCP,1,NA,NA,NA
HBFO000018,An Chuan Pian,安喘片,NA,An Chuan Tablet,片剂 (Tablet),Oral,化痰药,Chinese patent medicines,"天仙子, 牡荆油, 盐酸克仑特罗, 蝉脱, 野马追, 马来酸氯苯那敏","Tian Xian Zi, Mu Jing You, Yan Suan Ke Lun Te Luo, Chan Tuo, Ye Ma Zhui, Ma Lai Suan Lv Ben Na Min",痰浊蕴肺证,Syndrome of phlegm turbidity retaining in the lung,"咳嗽, 喘病","Dyspnea, Cough",ETCM,NA,NA,14,14
HBFO000019,E Jiao Kou Fu Ye,阿胶口服液,NA,E Jiao Oral Liquid,口服液 (Oral Liquid Pharmaceutical Preparation),Oral,NA,Chinese patent medicines,"阿胶, 冰糖, 黄酒, 山梨酸","E Jiao, Bing Tang, Huang Jiu, Shan Li Suan",补血滋阴，润燥，止血,"Nourish blood, nourish yin, moisturize dryness, stop bleeding",血虚萎黄，眩晕心悸，肌痿无力，心烦不眠，肺燥咳嗽，劳嗽咯血，吐血、尿血，便血、崩漏，妊娠胎漏；缺铁性贫血,"Blood deficiency and chlorosis, dizziness, palpitations, muscle weakness, weakness, upset and insomnia, lung dryness, coughing, hemoptysis, vomiting, hematuria, hematochezia, uterine bleeding, fetal leakage during pregnancy; iron deficiency anemia",ITCM,NA,2,51038,NA
HBFO000020,An Er Ning Ke Li,安儿宁颗粒,NA,Anerning Granule; An Er Ning Granule,颗粒剂 (Granule),Oral,NA,Chinese patent medicines,"天竺黄, 红花, 人工牛黄, 岩白菜, 甘草, 高山辣根菜, 洪连, 檀香, 唐古特乌头","Tian Zhu Huang, Hong Hua, Ren Gong Niu Huang, Yan Bai Cai, Gan Cao, Gao Shan La Gen Cai, Hong Lian, Tan Xiang, Tang Gu Te Wu Tou",清热祛风，化痰止咳,NA,用于小儿风热感冒，咳嗽有痰，发热咽痛，上呼吸道感染见上述证候者,"Used for children with wind-heat and cold, cough with sputum, fever, sore throat, upper respiratory tract infection see the above syndrome",Chinese Pharmacopoeia 2020 edition,NA,7,52611,NA
HBFO000021,An Er Mian Tang Jiang,安尔眠糖浆,NA,An Er Mian Syrup,糖浆剂 (Syrup),Oral,安神药,Chinese patent medicines,"丹参, 大枣, 首乌藤","Dan Shen, Da Zao, Shou Wu Teng",心热阴虚证; 心神不宁证,Syndrome of heart-heat and yin deficiency; Syndrome of disturbing heart-spirit; Syndrome of disturbing heart-spirit,不寐,Inability to sleep,ETCM,NA,NA,15,15
HBFO000022,An Gong Jiang Ya Wan,安宫降压丸,NA,Angong Jiangya Pill; An Gong Jiang Ya Pill,丸剂 (Pill),Oral,清热药,Chinese patent medicines,"五味子, 党参, 冰片, 天麻, 川芎, 栀子, 水牛角, 牛黄, 珍珠母, 白芍, 郁金, 麦冬, 黄芩, 黄芪, 黄连","Wu Wei Zi, Dang Shen, Bing Pian, Tian Ma, Chuan Qiong, Zhi Zi, Shui Niu Jiao, Niu Huang, Zhen Zhu Mu, Bai Shao, Yu Jin, Mai Dong, Huang Qin, Huang Qi, Huang Lian",肝阳上亢证,Syndrome of upper hyperactivity of liver yang,"眩晕, 心悸","Palpitations, Dizziness",Chinese Pharmacopoeia 2020 edition,NA,NA,16,16
HBFO000023,An Gong Niu Huang Pian,安宫牛黄片,NA,An Gong Niu Huang Tablet,片剂 (Tablet),Oral,开窍剂,Chinese patent medicines,"人工牛黄, 冰片, 朱砂, 栀子, 水牛角, 珍珠, 郁金, 雄黄, 麝香, 黄芩, 黄连","Ren Gong Niu Huang, Bing Pian, Zhu Sha, Zhi Zi, Shui Niu Jiao, Zhen Zhu, Yu Jin, Xiong Huang, She Xiang, Huang Qin, Huang Lian",热闭心包证; 热盛动风证,Syndrome of heat-toxicity blocking pericardium; Syndrome of stirring wind due to intense heat,"发热, 痉病","Fever, Convulsive disease",ETCM,NA,NA,17,17
HBFO000024,An Gong Niu Huang San,安宫牛黄散,NA,An Gong Niu Huang Powder; Angong Niuhuang Powder,散剂 (Powder),Oral,NA,Chinese patent medicines,"牛黄, 人工麝香, 朱砂, 黄连, 栀子, 水牛角浓缩粉, 珍珠, 雄黄, 黄芩, 冰片","Niu Huang, Ren Gong She Xiang, Zhu Sha, Huang Lian, Zhi Zi, Shui Niu Jiao Nong Suo Fen, Zhen Zhu, Xiong Huang, Huang Qin, Bing Pian",清热解毒，镇惊开窍,NA,用于热病，邪入心包，高热惊厥，神昏谵语；中风昏迷及脑炎、脑膜炎、中毒性脑病、脑出血、败血症见上述证候者,"Used for fever, evil into the pericardium, high fever convulsions, delirium; stroke, coma, encephalitis, meningitis, toxic encephalopathy, cerebral hemorrhage, sepsis, see the above symptoms",Chinese Pharmacopoeia 2020 edition,NA,NA,52936,NA
HBFO000025,An Gong Niu Huang Wan,安宫牛黄丸,NA,An Gong Niu Huang Pill; Angong Niuhuang Pill,丸剂 (Pill),Oral,NA,Chinese patent medicines,"牛黄, 麝香或人工麝香, 朱砂, 黄连, 栀子, 冰片, 水牛角浓缩粉, 珍珠, 雄黄, 黄芩, 郁金","Niu Huang, She Xiang Huo Ren Gong She Xiang, Zhu Sha, Huang Lian, Zhi Zi, Bing Pian, Shui Niu Jiao Nong Suo Fen, Zhen Zhu, Xiong Huang, Huang Qin, Yu Jin",清热解毒，镇惊开窍,NA,用于热病，邪入心包，高热惊厥，神昏谵语；中风昏迷及脑炎、脑膜炎、中毒性脑病、脑出血、败血症见上述证候者,"Used for fever, evil into the pericardium, high fever convulsions, delirium; stroke, coma, encephalitis, meningitis, toxic encephalopathy, cerebral hemorrhage, sepsis, see the above symptoms",Chinese Pharmacopoeia 2020 edition,5,NA,52935,NA
HBFO000026,An Gong Zhi Xue Ke Li,安宫止血颗粒,NA,An Gong Zhi Xue Granule; Angong Zhixue Granule,颗粒剂 (Granule),Oral,NA,Chinese patent medicines,"益母草, 马齿苋","Yi Mu Cao, Ma Chi Xian",活血化瘀，清热止血,NA,用于瘀热内蕴所致的恶露不净，症见恶露不止、小腹疼痛、口燥咽干；人工流产及产后子宫复位不全见上述证候者,"Used for unclean lochia caused by stasis and heat, symptoms of more than lochia, lower abdomen pain, dry mouth and throat; artificial abortion and postpartum uterine insufficiency see the above syndromes",Chinese Pharmacopoeia 2020 edition,NA,NA,53523,NA
HBFO000027,An Kang Ke Li,安康颗粒,NA,An Kang Granule,颗粒剂 (Granule),Oral,安神药,Chinese patent medicines,"山楂, 山药, 当归, 猪脊髓, 红参, 银耳, 鹿茸","Shan Zha, Shan Yao, Dang Gui, Zhu Ji Sui, Hong Can, Yin Er, Lu Rong",肾虚髓亏证; 精血亏虚证; 心神不宁证,Syndrome of deficiency of essence and blood; Syndrome of marrow depletion due to kidney deficiency; Syndrome of disturbing heart-spirit; Syndrome of disturbing heart-spirit,"眩晕, 耳鸣","Tinnitus, Dizziness",ETCM,NA,NA,18,18
HBFO000028,An Kang Xin Bao Wan,安康心宝丸,NA,An Kang Xin Bao Pill,丸剂 (Pill),Oral,开窍剂,Chinese patent medicines,"丁香, 乳香, 人参, 冰片, 檀香, 沉香, 石菖蒲, 苏合香, 荜茇, 蟾酥, 诃子, 香附, 麦冬","Ding Xiang, Ru Xiang, Ren Shen, Bing Pian, Tan Xiang, Chen Xiang, Shi Chang Pu, Su He Xiang, Bi Ba, Chan Su, He Zi, Xiang Fu, Mai Dong",气滞血瘀证; 心气滞血瘀证; 痰阻心脉证,Syndrome of qi stagnation and blood stasis; Syndrome of phlegm blocking the heart channel; Syndrome of qi stagnation and blood stasis in heart,"胸痹, 神昏","Loss of consciousness, Chest painful impediment",ETCM,NA,NA,19,19
HBFO000029,An Kun Ke Li,安坤颗粒,NA,An Kun Granule,颗粒剂 (Granule),Oral,清热药,Chinese patent medicines,"墨旱莲, 女贞子, 当归, 栀子, 牡丹皮, 白术, 白芍, 益母草, 茯苓","Mo Han Lian, Nv Zhen Zi, Dang Gui, Zhi Zi, Mu Dan Pi, Bai Zhu, Bai Shao, Yi Mu Cao, Fu Ling",血热动血证,Syndrome of blood-heat stirring blood,"月经失调, 月经过多, 腰痛","Lumbago, Profuse menstruation, Menstrual irregularities",ETCM,NA,NA,20,20
HBFO000030,An Kun Zan Yu Wan,安坤赞育丸,NA,An Kun Zan Yu Pill,丸剂 (Pill),Oral,补益药,Chinese patent medicines,"北沙参, 川牛膝, 当归, 牛膝, 白芍, 紫河车, 阿胶, 香附, 鹿茸","Bei Sha Shen, Chuan Niu Xi, Dang Gui, Niu Xi, Bai Shao, Zi He Che, E Jiao, Xiang Fu, Lu Rong",气血两虚证; 肝肾亏虚证,Syndrome of deficiency in liver and kidney; Syndrome of deficiency of both essence and blood,"虚劳, 月经失调, 崩漏, 带下病, 产后腹痛, 便溏","Flooding and spotting, Sloppy stool, Postpartum abdominal pain, Leukorrheal diseases, Consumptive disease, Menstrual irregularities",ETCM,NA,NA,21,21
HBFO000031,An Le Pian,安乐片,NA,An Le Tablet,片剂 (Tablet),Oral,安神药,Chinese patent medicines,"川芎, 当归, 柴胡, 甘草, 白术, 茯苓, 钩藤, 首乌藤","Chuan Qiong, Dang Gui, Chai Hu, Gan Cao, Bai Zhu, Fu Ling, Gou Teng, Shou Wu Teng",肝郁血虚证; 心神不宁证,Syndrome of stagnation of liver qi and blood deficiency; Syndrome of disturbing heart-spirit; Syndrome of disturbing heart-spirit,"郁病, 不寐, 夜啼, 绝经前后诸症","Inability to sleep, Menopausal disorders, Night crying, Depression disease",ETCM,NA,NA,22,22
HBFO000032,E Jiao Yang Xue Gao,阿胶养血膏,NA,E Jiao Yang Xue Electuary,煎膏剂 (Electuary),Oral,NA,Chinese patent medicines,"黄芪, 当归, 党参, 阿胶, 枸杞子, 熟地黄, 白芍, 糖（炼）","Huang Qi, Dang Gui, Dang Shen, E Jiao, Gou Qi Zi, Shu Di Huang, Bai Shao, Tang （ Lian ）",益气养血，滋补肝肾,"To nourish qi and blood, nourish liver and kidney",气血两虚所致老年体衰，阳痿遗精等症,"Elderly body failure, impotence and nocturnal emission caused by deficiency of both qi and blood",ITCM,NA,3,51388,NA
HBFO000033,An Luo Tong Ding,安络痛酊,NA,An Luo Tong Tincture,酊剂 (Tincture),Oral,化湿药,Chinese patent medicines,安络痛浸膏,An Luo Tong Jin Gao,伤损筋骨证; 风寒湿凝滞筋骨证,Syndrome of stagnation and congelation of wind cold-dampness in sinew and bone; Syndrome of damage to sinew and bone,"跌打损伤, 痹病","Impediment disease, Traumatic injuries",ETCM,NA,NA,23,23
HBFO000034,An Luo Tong Pian,安络痛片,NA,An Luo Tong Tablet,片剂 (Tablet),Oral,化湿药,Chinese patent medicines,"安络小皮伞菌乙醇提取物, 安络小皮伞菌粉","An Luo Xiao Pi San Jun Yi Chun Ti Qu Wu, An Luo Xiao Pi San Jun Fen",风寒湿凝滞筋骨证,Syndrome of stagnation and congelation of wind cold-dampness in sinew and bone,痹病,Impediment disease,ETCM,NA,9,25,25
HBFO000035,An Luo Tong Yao Jiu,安络痛药酒,NA,An Luo Tong Medicated Wine,药酒 (Medicinal Liquor),Oral,化湿药,Chinese patent medicines,安络小皮菌酒浸液,An Luo Xiao Pi Jun Jiu Jin Ye,风寒湿凝滞筋骨证,Syndrome of stagnation and congelation of wind cold-dampness in sinew and bone,痹病,Impediment disease,ETCM,NA,NA,26,26
HBFO000036,An Mian Bu Nao Tang Jiang,安眠补脑糖浆,NA,An Mian Bu Nao Syrup,糖浆剂 (Syrup),Oral,补益药,Chinese patent medicines,"五味子, 制何首乌, 大枣, 枸杞子, 柏子仁, 桑椹, 炙甘草, 红参, 远志, 麦冬","Wu Wei Zi, Zhi He Shou Wu, Da Zao, Gou Qi Zi, Bai Zi Ren, Sang Shen, Zhi Gan Cao, Hong Can, Yuan Zhi, Mai Dong",心神不宁证; 心气虚证,Syndrome of heart qi deficiency; Syndrome of disturbing heart-spirit; Syndrome of disturbing heart-spirit,"不寐, 眩晕, 头痛, 心悸","Inability to sleep, Headache, Palpitations, Dizziness",ETCM,NA,NA,27,27
HBFO000037,An Nao Niu Huang Pian,安脑牛黄片,NA,An Nao Niu Huang Tablet,片剂 (Tablet),Oral,开窍剂,Chinese patent medicines,"冰片, 大青叶, 朱砂, 栀子, 水牛角, 牛黄, 珍珠, 知母, 石膏, 石菖蒲, 辛荑, 连翘, 郁金, 金银花, 钩藤, 雄黄, 黄芩, 黄连","Bing Pian, Da Qing Ye, Zhu Sha, Zhi Zi, Shui Niu Jiao, Niu Huang, Zhen Zhu, Zhi Mu, Shi Gao, Shi Chang Pu, Xin Ti, Lian Qiao, Yu Jin, Jin Yin Hua, Gou Teng, Xiong Huang, Huang Qin, Huang Lian",热闭心包证,Syndrome of heat-toxicity blocking pericardium,"神昏, 发热, 痉病","Fever, Convulsive disease, Loss of consciousness",ETCM,NA,NA,28,28
HBFO000038,An Nao Pian,安脑片,NA,An Nao Tablet; Annao Tablet,片剂 (Tablet),Oral,开窍剂,Chinese patent medicines,"冰片, 朱砂, 栀子, 水牛角, 牛黄, 猪胆, 珍珠, 珍珠母, 石膏, 薄荷脑, 赭石, 郁金, 雄黄, 黄芩, 黄连","Bing Pian, Zhu Sha, Zhi Zi, Shui Niu Jiao, Niu Huang, Zhu Dan, Zhen Zhu, Zhen Zhu Mu, Shi Gao, Bo He Nao, Zhe Shi, Yu Jin, Xiong Huang, Huang Qin, Huang Lian",热盛动风证; 热闭心包证,Syndrome of heat-toxicity blocking pericardium; Syndrome of stirring wind due to intense heat,"发热, 神昏, 痉病, 中风","Fever, Convulsive disease, Loss of consciousness, Stroke",Chinese Pharmacopoeia 2020 edition,NA,NA,29,29
HBFO000039,An Nao Wan,安脑丸,NA,Annao Pill; An Nao Pill,丸剂 (Pill),Oral,开窍剂,Chinese patent medicines,"人工牛黄, 冰片, 朱砂, 栀子, 水牛角, 猪胆, 珍珠, 珍珠母, 石膏, 薄荷脑, 赭石, 郁金, 雄黄, 黄芩, 黄连","Ren Gong Niu Huang, Bing Pian, Zhu Sha, Zhi Zi, Shui Niu Jiao, Zhu Dan, Zhen Zhu, Zhen Zhu Mu, Shi Gao, Bo He Nao, Zhe Shi, Yu Jin, Xiong Huang, Huang Qin, Huang Lian",热闭心包证,Syndrome of heat-toxicity blocking pericardium,"中风, 发热, 闭证","Blockade syndrome, Fever, Stroke",Chinese Pharmacopoeia 2020 edition,NA,NA,30,30
HBFO000040,An Ning Bao Ying San,安宁保婴散,NA,An Ning Bao Ying Powder,散剂 (Powder),Oral,解表药,Chinese patent medicines,"冰片, 水牛角, 珍珠, 琥珀, 甘草, 白附子, 胆南星, 茯苓, 蛇胆, 蜜环粉, 钩藤, 防风, 黄芩提取物","Bing Pian, Shui Niu Jiao, Zhen Zhu, Hu Po, Gan Cao, Bai Fu Zi, Dan Nan Xing, Fu Ling, She Dan, Mi Huan Fen, Gou Teng, Fang Feng, Huang Qin Ti Qu Wu",风邪犯肺证,Syndrome of wind invading the lung,感冒,Common cold,ETCM,NA,NA,31,31
HBFO000041,An Shen Bao Ke Li,安神宝颗粒,NA,Anshenbao Granule; An Shen Bao Granule,颗粒剂 (Granule),Oral,安神药,Chinese patent medicines,"合欢花, 枸杞子, 酸枣仁","He Huan Hua, Gou Qi Zi, Suan Zao Ren",心神不宁证; 心气阴两虚证,Syndrome of deficiency of both heart qi and yin; Syndrome of disturbing heart-spirit; Syndrome of disturbing heart-spirit,"不寐, 健忘, 眩晕, 耳鸣","Inability to sleep, Tinnitus, Forgetfulness, Dizziness",Chinese Pharmacopoeia 2020 edition,NA,NA,32,32
