Target_id,Gene_symbol,Gene_alias_name,Protein_name,Type_of_gene,TTD_target_type,Organism,Taxonomy_id ,Map_location,Chromosome,Entrez_id,OMIM_id,HGNC_id,Ensembl_id,MGI_id,TTD_id
HBTAR000114,AGL,GDE,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",protein-coding,NA,Homo sapiens,9606,1p21.2,1,178,610860,321,ENSG00000162688,NA,NA
HBTAR000115,AGRP,AGRT; ART; ASIP2,agouti related neuropeptide,protein-coding,Clinical Trial target,Homo sapiens,9606,16q22.1,16,181,602311,330,ENSG00000159723,NA,T52937
HBTAR000116,JAG1,AGS; AGS1; AHD; AWS; CD339; DCHE; HJ1; JAGL1,jagged canonical Notch ligand 1,protein-coding,NA,Homo sapiens,9606,20p12.2,20,182,601920,6188,ENSG00000101384,NA,NA
HBTAR000117,AGT,ANHU; SERPINA8; hFLT1,angiotensinogen,protein-coding,Research target,Homo sapiens,9606,1q42.2,1,183,106150,333,ENSG00000135744,NA,T64485
HBTAR000118,AGTR1,AG2S; AGTR1B; AT1; AT1AR; AT1B; AT1BR; AT1R; AT2R1; HAT1R,angiotensin II receptor type 1,protein-coding,Successful target,Homo sapiens,9606,3q24,3,185,106165,336,ENSG00000144891,NA,T74456
HBTAR000119,AGTR2,AT2; ATGR2; MRX88,angiotensin II receptor type 2,protein-coding,Successful target,Homo sapiens,9606,Xq23,X,186,300034,338,ENSG00000180772,NA,T09909
HBTAR000120,APLNR,AGTRL1; APJ; APJR; HG11,apelin receptor,protein-coding,Clinical Trial target,Homo sapiens,9606,11q12.1,11,187,600052,339,ENSG00000134817,NA,T65783
HBTAR000121,AGXT,AGT; AGT1; AGXT1; PH1; SPAT; SPT; TLH6,alanine--glyoxylate and serine--pyruvate aminotransferase,protein-coding,Research target,Homo sapiens,9606,2q37.3,2,189,604285,341,ENSG00000172482,NA,T06365
HBTAR000122,NR0B1,AHC; AHCH; AHX; DAX-1; DAX1; DSS; GTD; HHG; NROB1; SRXY2,nuclear receptor subfamily 0 group B member 1,protein-coding,Research target,Homo sapiens,9606,Xp21.2,X,190,300473,7960,ENSG00000169297,NA,T23191
HBTAR000123,AHCY,SAHH; adoHcyase,adenosylhomocysteinase,protein-coding,Research target,Homo sapiens,9606,20q11.22,20,191,180960,343,ENSG00000101444,NA,T68698
HBTAR000124,AHR,RP85; bHLHe76,aryl hydrocarbon receptor,protein-coding,Successful target,Homo sapiens,9606,7p21.1,7,196,600253,348,ENSG00000106546,NA,T23666
HBTAR000125,AHSG,A2HS; AHS; APMR1; FETUA; HSGA,alpha 2-HS glycoprotein,protein-coding,Clinical Trial target,Homo sapiens,9606,3q27.3,3,197,138680,349,ENSG00000145192,NA,T97036
HBTAR000126,AIF1,AIF-1; IBA1; IRT-1; IRT1,allograft inflammatory factor 1,protein-coding,Research target,Homo sapiens,9606,6p21.33,6,199,601833,352,ENSG00000204472,NA,T30777
HBTAR000127,AK1,HTL-S-58j,adenylate kinase 1,protein-coding,NA,Homo sapiens,9606,9q34.11,9,203,103000,361,ENSG00000106992,NA,NA
HBTAR000128,AK2,ADK2,adenylate kinase 2,protein-coding,NA,Homo sapiens,9606,1p35.1,1,204,103020,362,ENSG00000004455,NA,NA
HBTAR000129,AK4,AK 4; AK3; AK3L1; AK3L2,adenylate kinase 4,protein-coding,NA,Homo sapiens,9606,1p31.3,1,205,103030,363,ENSG00000162433,NA,NA
HBTAR000130,AKT1,AKT; CWS6; PKB; PKB-ALPHA; PRKBA; RAC; RAC-ALPHA,AKT serine/threonine kinase 1,protein-coding,Clinical Trial target,Homo sapiens,9606,14q32.33,14,207,164730,391,ENSG00000142208,NA,T67619
HBTAR000131,AKT2,HIHGHH; PKBB; PKBBETA; PRKBB; RAC-BETA,AKT serine/threonine kinase 2,protein-coding,Research target,Homo sapiens,9606,19q13.2,19,208,164731,392,ENSG00000105221,NA,T94621
HBTAR000132,ALAD,ALADH; PBGS,aminolevulinate dehydratase,protein-coding,Successful target,Homo sapiens,9606,9q32,9,210,125270,395,ENSG00000148218,NA,T20514
HBTAR000133,ALAS1,ALAS; ALAS-H; ALAS3; ALASH; MIG4,5'-aminolevulinate synthase 1,protein-coding,NA,Homo sapiens,9606,3p21.2,3,211,125290,396,ENSG00000023330,NA,NA
HBTAR000134,ALAS2,ALAS-E; ALASE; ANH1; ASB; SIDBA1; XLDPP; XLEPP; XLSA,5'-aminolevulinate synthase 2,protein-coding,NA,Homo sapiens,9606,Xp11.21,X,212,301300,397,ENSG00000158578,NA,NA
HBTAR000135,ALB,HSA; PRO0883; PRO0903; PRO1341,albumin,protein-coding,Successful target,Homo sapiens,9606,4q13.3,4,213,103600,399,ENSG00000163631,NA,T63068
HBTAR000136,ALCAM,CD166; MEMD,activated leukocyte cell adhesion molecule,protein-coding,Research target,Homo sapiens,9606,3q13.11,3,214,601662,400,ENSG00000170017,NA,T73404
HBTAR000137,ALDH1A1,ALDC; ALDH-E1; ALDH1; ALDH11; HEL-9; HEL-S-53e; HEL12; PUMB1; RALDH1,aldehyde dehydrogenase 1 family member A1,protein-coding,NA,Homo sapiens,9606,9q21.13,9,216,100640,402,ENSG00000165092,NA,NA
HBTAR000138,ALDH2,ALDH-E2; ALDHI; ALDM,aldehyde dehydrogenase 2 family member,protein-coding,Clinical Trial target,Homo sapiens,9606,12q24.12,12,217,100650,404,ENSG00000111275,NA,T44282
